source,external_id,url,title,property_type,operation_type,price,currency,expenses,address,neighborhood,city,province,latitude,longitude,total_area,covered_area,rooms,bedrooms,bathrooms,garages,age,publisher,published_at,scraped_at
argenprop,departamento-en-alquiler-en-palermo-soho-2-ambientes--18583904,https://www.argenprop.com/departamento-en-alquiler-en-palermo-soho-2-ambientes--18583904,Departamento en alquiler en Palermo Soho,apartment,rent,550.0,USD,,Gorriti 4400,,,Buenos Aires,,,45.0,,,1,,,,,,2025-12-12 00:59:07.838132
argenprop,departamento-en-alquiler-en-palermo-2-ambientes--18094217,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18094217,SINCLAIR AL 3000 - IMPECABLE 32 M2 TODO SOL APTO PROFESIONAL BAÑO Y COCINA COMPLETOS,apartment,rent,500000.0,ARS,,SINCLAIR al 3000 6°,,,Buenos Aires,,,32.0,,,1,,,,,,2025-12-12 00:59:07.848129
argenprop,departamento-en-alquiler-en-palermo-2-ambientes--16363834,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--16363834,Excelente depto 2 ambientes para uso OFICINA/DPTO APTO PROF edificio nuevo sin comisión,apartment,rent,640000.0,ARS,,Avenida Luis María Campos 300,,,Buenos Aires,,,40.0,,,1,1,,,,,2025-12-12 00:59:07.858271
argenprop,departamento-en-alquiler-en-las-canitas-3-ambientes--18185785,https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-3-ambientes--18185785,BAEZ Y BOULEVARD CHENAUT - IMPECABLE TODO AL FRENTE 56 M2 BALCON TODO SOL,apartment,rent,850000.0,ARS,,BAEZ Y BOULEVARD CHENAUT 7°,,,Buenos Aires,,,56.0,,,2,,,,,,2025-12-12 00:59:11.514312
argenprop,departamento-en-alquiler-en-palermo-2-ambientes--14630012,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--14630012,Scalabrini Ortiz 3100 2 Amb 42 m Sin Muebles Luminoso,apartment,rent,750000.0,ARS,,Avenida Raúl Scalabrini Ortiz 3100,,,Buenos Aires,,,42.0,,,1,,,,,,2025-12-12 00:59:11.525101
argenprop,departamento-en-alquiler-en-palermo-hollywood-1-ambiente--18447626,https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-1-ambiente--18447626,Departamento en alquiler en Palermo Hollywood,apartment,rent,680.0,USD,,Bonpland 1900,,,Buenos Aires,,,36.0,,,,1,,,,,2025-12-12 00:59:11.538889
argenprop,departamento-en-alquiler-en-las-canitas-1-ambiente--18253902,https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-1-ambiente--18253902,BENJAMIN MATIENZO AL 1600 - IMPECABLE BALCON TODO SOL APTO PROFESIONAL,apartment,rent,600000.0,ARS,,BENJAMIN MATIENZO AL 1600 6°,,,Buenos Aires,,,32.0,,,,1,,,,,2025-12-12 00:59:11.548453
argenprop,departamento-en-alquiler-en-palermo-2-ambientes--18630780,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18630780,Departamento 2 ambientes en Palermo con patio,apartment,rent,950000.0,ARS,,Fray Justo Santa Maria de Oro al 2300,,,Buenos Aires,,,60.0,,,1,,,,,,2025-12-12 00:59:11.558755
argenprop,departamento-en-alquiler-en-botanico-3-ambientes--18635739,https://www.argenprop.com/departamento-en-alquiler-en-botanico-3-ambientes--18635739,Departamento en Botanico,apartment,rent,1400000.0,ARS,,Avenida Santa Fe al 3600,,,Buenos Aires,,,63.0,,,2,,,,,,2025-12-12 00:59:11.568566
argenprop,departamento-en-alquiler-en-palermo-1-ambiente--18449093,https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--18449093,Monoambiente AMOBLADO Seguridad 24 Hs Piscina y Gym,apartment,rent,650.0,USD,,Humboldt 2400,,,Buenos Aires,,,33.0,,,,1,,,,,2025-12-12 00:59:11.577820
argenprop,departamento-en-alquiler-en-palermo-1-ambiente--18636419,https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--18636419,Dto. al Fte. Balcon Full Amenities Recien Pintado,apartment,rent,550000.0,ARS,,"Beruti 4600, Piso 5",,,Buenos Aires,,,38.0,,,,1,,,,,2025-12-12 00:59:11.587692
argenprop,departamento-en-alquiler-en-palermo-2-ambientes--18094223,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18094223,SINCLAIR AL 3000 - 32 M2 IMPECABLE TODO SOL APTO PROFESIONAL BAÑO Y COCINA COMPLETOS,apartment,rent,450000.0,ARS,,SINCLAIR al 3000 1°,,,Buenos Aires,,,32.0,,,1,,,,,,2025-12-12 00:59:11.597326
argenprop,departamento-en-alquiler-en-palermo-hollywood-2-ambientes--17704794,https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-2-ambientes--17704794,Amoblado 2 Ambientes con Balcón - Contrafrente - Muy Luminoso en Palermo.,apartment,rent,890000.0,ARS,,"Coronel Niceto Vega 4700, Piso 2",,,Buenos Aires,,,42.0,,,1,,,,,,2025-12-12 00:59:11.610322
argenprop,departamento-en-alquiler-en-palermo-soho-2-ambientes--18526320,https://www.argenprop.com/departamento-en-alquiler-en-palermo-soho-2-ambientes--18526320,Edificio Moderno - Piscina - Sum,apartment,rent,700.0,USD,,"Paraguay 4400, Piso 5",,,Buenos Aires,,,52.0,,,1,,,,,,2025-12-12 00:59:11.620965
argenprop,departamento-en-alquiler-en-palermo-1-ambiente--18445304,https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--18445304,PALESTINA Y AV. CORDOBA - FRENTE 33 M2 IMPECABLE BALCON V/ABIERTA T/SOL APTO PROFESIONAL AMENITIES,apartment,rent,550000.0,ARS,,PALESTINA al 1100 2°,,,Buenos Aires,,,29.0,,,,1,,,,,2025-12-12 00:59:11.632166
argenprop,departamento-en-alquiler-en-palermo-2-ambientes--18137372,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18137372,Alquiler de departamento 2 ambientes en el barrio de Palermo!,apartment,rent,400000.0,ARS,,Beruti al 4400,,,Buenos Aires,,,35.0,,,1,,,,,,2025-12-12 00:59:11.642190
argenprop,departamento-en-alquiler-en-palermo-chico--18227529,https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico--18227529,PALERMO CHICO - CABELLO 3300 Monoambiente en alquiler con Balcón al frente,apartment,rent,400000.0,ARS,,"CABELLO 3300, Piso 7",,,Buenos Aires,,,67.0,,,1,,,,,,2025-12-12 00:59:11.652212
argenprop,departamento-en-alquiler-en-palermo-4-ambientes--18420801,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--18420801,"Dpto de 4 ambientes, 2 baños, lavadero, baño de servicio y espacio guarda coches",apartment,rent,1800000.0,ARS,,"Av. Scalabrini Ortiz 2500, Piso 5",,,Buenos Aires,,,95.0,,,3,,,,,,2025-12-12 00:59:11.661981
argenprop,departamento-en-alquiler-en-botanico-4-ambientes--18514855,https://www.argenprop.com/departamento-en-alquiler-en-botanico-4-ambientes--18514855,Departamento 4 amb y lavadero en alquiler en Botanico,apartment,rent,1250000.0,ARS,,Arenales al 3600,,,Buenos Aires,,,85.0,,,3,,,,,,2025-12-12 00:59:11.672055
argenprop,departamento-en-alquiler-en-botanico-4-ambientes--11112406,https://www.argenprop.com/departamento-en-alquiler-en-botanico-4-ambientes--11112406,Departamento en alquiler en Botanico,apartment,rent,1440000.0,ARS,,"Av. Santa Fe 3500, Piso 3",,,Buenos Aires,,,93.0,,,3,,,,,,2025-12-12 00:59:11.685572
argenprop,departamento-en-alquiler-en-las-canitas-2-ambientes--18104655,https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-2-ambientes--18104655,Alquiler 2 amb Cañitas 1er piso por escalera,apartment,rent,500000.0,ARS,,OLLEROS al 1600,,,Buenos Aires,,,40.0,,,1,,,,,,2025-12-12 00:59:11.695718
argenprop,departamento-en-alquiler-en-palermo-1-ambiente--18500566,https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--18500566,MANSILLA AL 3600 - CONTRAFRENTE 24 M2 TODO SOL,apartment,rent,450000.0,ARS,,MANSILLA al 3600 2°,,,Buenos Aires,,,24.0,,,,1,,,,,2025-12-12 00:59:11.705427
argenprop,departamento-en-alquiler-en-palermo-hollywood-3-ambientes--18516152,https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-3-ambientes--18516152,Departamento en alquiler en Palermo Hollywood Con Cochera. Con o sin Amueblado.,apartment,rent,2500.0,USD,,"Avenida Dorrego 2300, Piso Ave",,,Buenos Aires,,,120.0,,,2,,,,,,2025-12-12 00:59:11.715412
